pkt_id,src,rsu,gen_time,enq_time,start_tx,end_tx,rx_time,success,reason,size_bits
pkt_100,test_vehicle_2,rsu_13,22.3,22.3,22.3,22.30040964730016,22.30040964730016,True,ok,8192
pkt_102,flow_ew_full.0,rsu_0,23.1,23.1,23.1,23.10040976168686,23.10040976168686,True,ok,8192
pkt_101,emergency_1,rsu_1,23.1,23.1,23.1,23.100409748029623,23.100409748029623,True,ok,8192
pkt_105,test_vehicle_4,rsu_19,23.1,23.1,23.1,23.100409630875106,23.100409630875106,True,ok,8192
pkt_103,flow_ew_j2.0,rsu_0,23.1,23.1,23.2,23.200409927025266,23.200409927025266,True,ok,8192
pkt_104,test_vehicle_3,rsu_1,23.1,23.1,23.2,23.200409631577834,23.200409631577834,True,ok,8192
pkt_106,test_vehicle_1,rsu_1,23.3,23.3,23.3,23.300409853121717,,False,rx_error,8192
pkt_107,test_vehicle_2,rsu_13,23.3,23.3,23.3,23.30040969041769,23.30040969041769,True,ok,8192
pkt_109,flow_ew_full.0,rsu_0,24.1,24.1,24.1,24.1004098098552,24.1004098098552,True,ok,8192
pkt_108,emergency_1,rsu_1,24.1,24.1,24.1,24.100409700474355,24.100409700474355,True,ok,8192
pkt_113,test_vehicle_4,rsu_19,24.1,24.1,24.1,24.100409620241255,24.100409620241255,True,ok,8192
pkt_111,flow_ew_j2.1,rsu_0,24.1,24.1,24.2,24.200409621747564,24.200409621747564,True,ok,8192
pkt_110,flow_ew_j2.0,rsu_1,24.1,24.1,24.2,24.200409901481223,24.200409901481223,True,ok,8192
pkt_112,test_vehicle_3,rsu_1,24.1,24.1,24.3,24.300409682512022,,False,rx_error,8192
pkt_115,test_vehicle_2,rsu_13,24.3,24.3,24.3,24.300409733615364,24.300409733615364,True,ok,8192
pkt_114,test_vehicle_1,rsu_1,24.3,24.3,24.4,24.40040990685073,24.40040990685073,True,ok,8192
pkt_117,flow_ew_full.0,rsu_0,25.1,25.1,25.1,25.10040985807369,25.10040985807369,True,ok,8192
pkt_116,emergency_1,rsu_1,25.1,25.1,25.1,25.100409652972665,25.100409652972665,True,ok,8192
pkt_120,flow_ns_j2.0,rsu_12,25.1,25.1,25.1,25.10040961781697,25.10040961781697,True,ok,8192
pkt_122,test_vehicle_4,rsu_19,25.1,25.1,25.1,25.100409669675013,25.100409669675013,True,ok,8192
pkt_119,flow_ew_j2.1,rsu_0,25.1,25.1,25.2,25.200409662136693,25.200409662136693,True,ok,8192
pkt_118,flow_ew_j2.0,rsu_1,25.1,25.1,25.2,25.2004098632345,25.2004098632345,True,ok,8192
pkt_121,test_vehicle_3,rsu_1,25.1,25.1,25.3,25.300409728929083,25.300409728929083,True,ok,8192
pkt_123,test_vehicle_1,rsu_2,25.3,25.3,25.3,25.30040991598465,25.30040991598465,True,ok,8192
pkt_124,test_vehicle_2,rsu_13,25.3,25.3,25.3,25.300409776829024,25.300409776829024,True,ok,8192
pkt_126,flow_ew_full.0,rsu_0,26.1,26.1,26.1,26.100409906174395,26.100409906174395,True,ok,8192
pkt_125,emergency_1,rsu_1,26.1,26.1,26.1,26.100409607401915,26.100409607401915,True,ok,8192
pkt_129,flow_ns_j2.0,rsu_12,26.1,26.1,26.1,26.10040966046838,26.10040966046838,True,ok,8192
pkt_131,test_vehicle_4,rsu_19,26.1,26.1,26.1,26.10040971954691,26.10040971954691,True,ok,8192
pkt_128,flow_ew_j2.1,rsu_0,26.1,26.1,26.2,26.200409702861094,26.200409702861094,True,ok,8192
pkt_127,flow_ew_j2.0,rsu_1,26.1,26.1,26.2,26.20040982493296,26.20040982493296,True,ok,8192
pkt_130,test_vehicle_3,rsu_1,26.1,26.1,26.3,26.30040977552621,26.30040977552621,True,ok,8192
